Cycle: 0 , ReqSize: 8
Cycle: 1000 , ReqSize: 8
Cycle: 2000 , ReqSize: 8
Cycle: 3000 , ReqSize: 8
Cycle: 4000 , ReqSize: 8
Cycle: 5000 , ReqSize: 8
Cycle: 6000 , ReqSize: 8
Cycle: 7000 , ReqSize: 8
Cycle: 8000 , ReqSize: 8
Cycle: 9000 , ReqSize: 8
Cycle: 10000 , ReqSize: 8
Cycle: 11000 , ReqSize: 8
Cycle: 12000 , ReqSize: 8
Cycle: 13000 , ReqSize: 8
Cycle: 14000 , ReqSize: 8
Cycle: 15000 , ReqSize: 8
Cycle: 16000 , ReqSize: 8
Cycle: 17000 , ReqSize: 8
Cycle: 18000 , ReqSize: 8
Cycle: 19000 , ReqSize: 8
Cycle: 20000 , ReqSize: 8
Cycle: 21000 , ReqSize: 8
Cycle: 22000 , ReqSize: 8
Cycle: 23000 , ReqSize: 8
Cycle: 24000 , ReqSize: 8
Cycle: 25000 , ReqSize: 8
Cycle: 26000 , ReqSize: 8
Cycle: 27000 , ReqSize: 8
Cycle: 28000 , ReqSize: 8
Cycle: 29000 , ReqSize: 8
Cycle: 30000 , ReqSize: 8
Cycle: 31000 , ReqSize: 8
Cycle: 32000 , ReqSize: 8
Cycle: 33000 , ReqSize: 8
Cycle: 34000 , ReqSize: 8
Cycle: 35000 , ReqSize: 8
Cycle: 36000 , ReqSize: 8
Cycle: 37000 , ReqSize: 8
Cycle: 38000 , ReqSize: 8
Cycle: 39000 , ReqSize: 8
Cycle: 40000 , ReqSize: 8
Cycle: 41000 , ReqSize: 8
Cycle: 42000 , ReqSize: 8
Cycle: 43000 , ReqSize: 8
Cycle: 44000 , ReqSize: 8
Cycle: 45000 , ReqSize: 8
Cycle: 46000 , ReqSize: 8
Cycle: 47000 , ReqSize: 8
Cycle: 48000 , ReqSize: 8
Cycle: 49000 , ReqSize: 8
Cycle: 50000 , ReqSize: 8
Cycle: 51000 , ReqSize: 8
Cycle: 52000 , ReqSize: 8
Cycle: 53000 , ReqSize: 8
Cycle: 54000 , ReqSize: 8
Cycle: 55000 , ReqSize: 8
Cycle: 56000 , ReqSize: 8
Cycle: 57000 , ReqSize: 8
Cycle: 58000 , ReqSize: 8
Cycle: 59000 , ReqSize: 8
Cycle: 60000 , ReqSize: 8
Cycle: 61000 , ReqSize: 8
Cycle: 62000 , ReqSize: 8
Cycle: 63000 , ReqSize: 8
Cycle: 64000 , ReqSize: 8
Cycle: 65000 , ReqSize: 8
Cycle: 66000 , ReqSize: 8
Cycle: 67000 , ReqSize: 8
Cycle: 68000 , ReqSize: 8
Cycle: 69000 , ReqSize: 8
Cycle: 70000 , ReqSize: 8
Cycle: 71000 , ReqSize: 8
Cycle: 72000 , ReqSize: 8
Cycle: 73000 , ReqSize: 8
Cycle: 74000 , ReqSize: 8
Cycle: 75000 , ReqSize: 8
Cycle: 76000 , ReqSize: 8
Cycle: 77000 , ReqSize: 8
Cycle: 78000 , ReqSize: 8
Cycle: 79000 , ReqSize: 8
Cycle: 80000 , ReqSize: 8
Cycle: 81000 , ReqSize: 8
Cycle: 82000 , ReqSize: 8
Cycle: 83000 , ReqSize: 8
Cycle: 84000 , ReqSize: 8
Cycle: 85000 , ReqSize: 8
Cycle: 86000 , ReqSize: 8
Cycle: 87000 , ReqSize: 8
Cycle: 88000 , ReqSize: 8
Cycle: 89000 , ReqSize: 8
Cycle: 90000 , ReqSize: 8
Cycle: 91000 , ReqSize: 8
Cycle: 92000 , ReqSize: 8
--------------------
Cycle Count: 92601
Address Count: 740784
Average NOC Bandwidth7.999740823533223
